iter	Passed	Remaining
0	0	48
1	0	47
2	1	43
3	1	39
4	2	38
5	2	37
6	2	36
7	3	36
8	3	36
9	4	37
10	4	37
11	5	36
12	5	36
13	5	35
14	6	34
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	31
21	8	31
22	9	30
23	9	30
24	9	29
25	10	29
26	10	28
27	11	28
28	11	28
29	11	27
30	12	27
31	12	27
32	13	27
33	13	26
34	14	26
35	14	26
36	15	25
37	15	25
38	16	25
39	16	24
40	17	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	22
46	19	21
47	19	21
48	20	21
49	20	20
50	21	20
51	21	19
52	22	19
53	22	19
54	22	18
55	23	18
56	23	18
57	24	17
58	24	17
59	25	16
60	25	16
61	26	16
62	26	15
63	27	15
64	27	14
65	27	14
66	28	14
67	28	13
68	29	13
69	29	12
70	30	12
71	30	12
72	31	11
73	31	11
74	32	10
75	32	10
76	33	9
77	33	9
78	34	9
79	34	8
80	35	8
81	35	7
82	36	7
83	36	6
84	36	6
85	37	6
86	37	5
87	38	5
88	38	4
89	38	4
90	39	3
91	39	3
92	40	3
93	40	2
94	41	2
95	41	1
96	41	1
97	42	0
98	42	0
99	43	0
